revenu_mensuel,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,age_rh,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,tranche_distance_domicile_travail
8.69851424787661,Commercial,Cadre Commercial,8,8,6,4,35-44,2,3,2,4,1,1,3,Oui,11 %,1,0,0,2,Infra & Cloud,Occasionnel,0,5,0-4 km
8.543055850941965,Consulting,Assistant de Direction,1,10,10,7,45-59,3,2,2,2,4,3,4,Non,23 %,0,1,3,1,Infra & Cloud,Frequent,1,7,5-9 km
7.645397699428633,Consulting,Consultant,6,7,0,0,35-44,4,2,1,3,2,3,3,Oui,15 %,1,0,3,2,Autre,Occasionnel,0,0,0-4 km
7.975908360165538,Consulting,Assistant de Direction,1,8,8,7,25-34,4,3,1,3,3,3,3,Oui,11 %,0,0,3,4,Infra & Cloud,Frequent,3,0,0-4 km
8.15162164696975,Consulting,Consultant,9,6,2,2,25-34,1,3,1,2,4,3,3,Non,12 %,0,1,3,1,Transformation Digitale,Occasionnel,2,2,0-4 km
8.029107054619736,Consulting,Consultant,0,8,7,7,25-34,4,3,1,4,3,2,3,Non,13 %,0,0,2,2,Infra & Cloud,Frequent,3,6,0-4 km
7.890208213109961,Consulting,Consultant,4,12,1,0,45-59,3,4,1,1,1,2,4,Oui,20 %,0,3,3,3,Transformation Digitale,Occasionnel,0,0,0-4 km
7.898782356970309,Consulting,Consultant,1,1,1,0,25-34,4,3,1,3,2,3,4,Non,22 %,0,1,2,1,Infra & Cloud,Occasionnel,0,0,20-29 km
9.161885151706779,Consulting,Tech Lead,0,10,9,7,35-44,4,2,3,3,2,3,4,Non,21 %,0,0,2,3,Infra & Cloud,Frequent,1,8,20-29 km
8.563695025067657,Consulting,Manager,6,17,7,7,35-44,3,3,2,3,2,2,3,Non,13 %,0,2,3,3,Transformation Digitale,Occasionnel,7,7,20-29 km
